TargetWord,WinStatus,NumGuesses,Vowels,DuplicateSets,DuplicateDegree
aback,1,4,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,6,2,1,2
aback,1,4,2,1,2
aback,1,3,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,3,2,1,2
aback,1,4,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,4,2,1,2
aback,1,5,2,1,2
aback,1,6,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,0,6,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,5,2,1,2
aback,1,4,2,1,2
aback,1,5,2,1,2
aback,1,6,2,1,2
aback,0,6,2,1,2
aback,1,4,2,1,2
aback,1,3,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,3,2,1,2
aback,1,6,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,6,2,1,2
aback,1,6,2,1,2
aback,1,5,2,1,2
aback,0,6,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,6,2,1,2
aback,1,6,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,4,2,1,2
aback,1,3,2,1,2
aback,1,5,2,1,2
aback,0,6,2,1,2
aback,1,5,2,1,2
aback,1,6,2,1,2
aback,1,3,2,1,2
aback,1,6,2,1,2
aback,1,4,2,1,2
aback,1,6,2,1,2
aback,1,6,2,1,2
aback,1,6,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,5,2,1,2
aback,1,5,2,1,2
aback,1,4,2,1,2
aback,1,6,2,1,2
aback,1,5,2,1,2
aback,1,4,2,1,2
aback,1,4,2,1,2
aback,1,5,2,1,2
aback,1,4,2,1,2
aback,1,3,2,1,2
aback,1,5,2,1,2
aback,0,6,2,1,2
aback,1,6,2,1,2
aback,1,4,2,1,2
aback,1,3,2,1,2
aback,1,4,2,1,2
aback,1,6,2,1,2
aback,1,4,2,1,2
aback,1,3,2,1,2
